Accession	Description
Q307G8	Ras-related protein RAB11A (Fragment) OS=Ovis aries PE=2 SV=1 - [Q307G8_SHEEP]
Q307G9	Cysteine-rich angiogenic inducer 61 (Fragment) OS=Ovis aries PE=2 SV=1 - [Q307G9_SHEEP]
Q30831	MHC class I protein (Fragment) OS=Ovis aries PE=2 SV=1 - [Q30831_SHEEP]
Q30B70	Elongation factor-1 alpha (Fragment) OS=Ovis aries PE=2 SV=1 - [Q30B70_SHEEP]
Q30B76	Niemann-Pick disease type C2 (Fragment) OS=Ovis aries PE=2 SV=1 - [Q30B76_SHEEP]
Q30DU7	Claudin (Fragment) OS=Ovis aries GN=CLDN4 PE=2 SV=1 - [Q30DU7_SHEEP]
Q3LRQ1	Vitronectin (Fragment) OS=Capra hircus PE=2 SV=1 - [Q3LRQ1_CAPHI]
Q3MHZ0	FLOT1 protein (Fragment) OS=Bos taurus GN=FLOT1 PE=2 SV=1 - [Q3MHZ0_BOVIN]
Q3MHZ3	ATP6AP1 protein (Fragment) OS=Bos taurus GN=ATP6AP1 PE=2 SV=1 - [Q3MHZ3_BOVIN]
Q3SZ45	Stromal cell-derived factor 2 OS=Bos taurus GN=SDF2 PE=2 SV=1 - [SDF2_BOVIN]
Q3SZC4	NSFL1 cofactor p47 OS=Bos taurus GN=NSFL1C PE=2 SV=1 - [NSF1C_BOVIN]
Q3SZH7	Leukotriene A-4 hydrolase OS=Bos taurus GN=LTA4H PE=2 SV=3 - [LKHA4_BOVIN]
Q3T000	Synaptobrevin homolog YKT6 OS=Bos taurus GN=YKT6 PE=2 SV=1 - [YKT6_BOVIN]
Q3T0D7	GTP-binding protein SAR1a OS=Bos taurus GN=SAR1A PE=2 SV=1 - [SAR1A_BOVIN]
Q3T0T7	GTP-binding protein SAR1b OS=Bos taurus GN=SAR1B PE=2 SV=1 - [SAR1B_BOVIN]
Q3ZBA6	DnaJ homolog subfamily B member 11 OS=Bos taurus GN=DNAJB11 PE=2 SV=1 - [DJB11_BOVIN]
Q3ZBD7	Glucose-6-phosphate isomerase OS=Bos taurus GN=GPI PE=2 SV=4 - [G6PI_BOVIN]
Q3ZCH5	Zinc-alpha-2-glycoprotein OS=Bos taurus GN=AZGP1 PE=2 SV=1 - [ZA2G_BOVIN]
Q4GZT4	ATP-binding cassette sub-family G member 2 OS=Bos taurus GN=ABCG2 PE=3 SV=2 - [ABCG2_BOVIN]
Q4LBE0	MHC class I antigen OS=Ovis aries GN=ovar-MHCI-F12 PE=2 SV=1 - [Q4LBE0_SHEEP]
Q4LBE3	MHC class I antigen OS=Ovis aries GN=ovar-MHCI-C6 PE=2 SV=1 - [Q4LBE3_SHEEP]
Q4LBE6	MHC class I antigen OS=Ovis aries GN=ovar-MHCI-D3 PE=2 SV=1 - [Q4LBE6_SHEEP]
Q4TVY4	78 kDa glucose-regulated protein (Fragment) OS=Ovis aries GN=HSPA5 PE=2 SV=1 - [Q4TVY4_SHEEP]
Q4W1E4	Angiotensin-I converting enzyme (Fragment) OS=Ovis aries GN=ace PE=2 SV=1 - [Q4W1E4_SHEEP]
Q58CW7	KIAA1068 protein OS=Bos taurus GN=KIAA1068 PE=2 SV=1 - [Q58CW7_BOVIN]
Q58CX8	Mannosyl (Alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase OS=Bos taurus GN=MGAT1 PE=2 SV=1 - [Q58CX8_BOVIN]
Q58D03	CDC37 homolog OS=Bos taurus GN=CDC37 PE=2 SV=1 - [Q58D03_BOVIN]
Q58DG0	Retinol binding protein 1, cellular OS=Bos taurus GN=RBP1 PE=2 SV=1 - [Q58DG0_BOVIN]
Q5C9G6	Kappa casein (Fragment) OS=Capra sibirica GN=Kcas PE=4 SV=1 - [Q5C9G6_CAPSI]
Q5PXK8	Major prion protein (Fragment) OS=Ovis aries GN=PrP PE=3 SV=1 - [Q5PXK8_SHEEP]
Q5YD57	Beta-casein (Fragment) OS=Capra hircus GN=CSN2 PE=4 SV=1 - [Q5YD57_CAPHI]
Q69EZ6	CSCN1 OS=Capra hircus PE=2 SV=1 - [Q69EZ6_CAPHI]
Q6B826	Histone H4 (Fragment) OS=Bos indicus PE=3 SV=1 - [Q6B826_BOSIN]
Q6IEB0	Putative ISG12(A) protein (Fragment) OS=Ovis aries GN=isg12(a) PE=2 SV=1 - [Q6IEB0_SHEEP]
Q6QDT7	Micromolar calcium activated neutral protease 1 (Fragment) OS=Bos taurus GN=CAPN1 PE=4 SV=1 - [Q6QDT7_BOVIN]
Q6RUR7	Butyrophilin (Fragment) OS=Ovis aries PE=4 SV=1 - [Q6RUR7_SHEEP]
Q6S4N9	Fatty acid binding protein 3 OS=Capra hircus GN=H-FABP PE=2 SV=1 - [Q6S4N9_CAPHI]
Q6TMG6	Chitinase-3-like protein 1 OS=Ovis aries GN=CHI3L1 PE=1 SV=1 - [CH3L1_SHEEP]
Q6TVS2	Putative uncharacterized protein OS=Orf virus (strain Goat/Texas/SA00/2000) PE=4 SV=1 - [Q6TVS2_ORFSA]
Q6XUZ5	Isocitrate dehydrogenase [NADP] cytoplasmic OS=Ovis aries GN=IDH1 PE=2 SV=1 - [IDHC_SHEEP]
Q6YLM3	Kappa casein (Fragment) OS=Hippotragus niger PE=4 SV=1 - [Q6YLM3_HIPNI]
Q71V69	Kappa-casein (Fragment) OS=Capra hircus PE=4 SV=1 - [Q71V69_CAPHI]
Q7M2L4	Synapsin I (Fragments) OS=Bos taurus PE=1 SV=1 - [Q7M2L4_BOVIN]
Q7M2Q9	Rho protein GDP-dissociation inhibitor (Fragments) OS=Bos taurus PE=1 SV=1 - [Q7M2Q9_BOVIN]
Q7M2U8	Apolipoprotein E OS=Ovis aries GN=APOE PE=2 SV=1 - [APOE_SHEEP]
Q7M323	Plasminogen (Fragment) OS=Capra hircus GN=PLG PE=1 SV=1 - [PLMN_CAPHI]
Q7M3G9	GTP-binding regulatory protein Gi alpha-2 chain (Fragments) OS=Bos taurus PE=4 SV=1 - [Q7M3G9_BOVIN]
Q7M3H5	GTP-binding protein rhoB (Fragments) OS=Bos taurus PE=4 SV=1 - [Q7M3H5_BOVIN]
Q7SLV9	Pol protein (Fragment) OS=Sheep pulmonary adenomatosis virus PE=4 SV=1 - [Q7SLV9_JSRV]
Q7YR84	Putative vacuolar protein sorting 28 (Fragment) OS=Bos taurus GN=VPS28 PE=4 SV=1 - [Q7YR84_BOVIN]
Q85301	Orf virus homologue of retroviral pseudoprotease protein OS=Orf virus PE=4 SV=1 - [Q85301_ORFV]
Q860K2	MHC class I antigen (Fragment) OS=Ovis aries PE=2 SV=1 - [Q860K2_SHEEP]
Q862I7	Similar to ribosomal protein S3 (Fragment) OS=Bos taurus PE=2 SV=1 - [Q862I7_BOVIN]
Q862K9	Methionine aminopeptidase (Fragment) OS=Bos taurus PE=2 SV=1 - [Q862K9_BOVIN]
Q863B3	Staphylococcal nuclease domain-containing protein 1 OS=Bos taurus GN=SND1 PE=1 SV=1 - [SND1_BOVIN]
Q864L8	Peptidyl-prolyl cis-trans isomerase (Fragment) OS=Ovis aries PE=2 SV=1 - [Q864L8_SHEEP]
Q95JH0	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha OS=Ovis aries GN=AGPAT1 PE=2 SV=1 - [PLCA_SHEEP]
Q95MY3	Kappa-casein (Fragment) OS=Redunca redunca PE=4 SV=1 - [Q95MY3_REDRE]
Q9BDG3	Beta lactoglobulin D (Fragment) OS=Bos taurus GN=bLG D PE=4 SV=1 - [Q9BDG3_BOVIN]
Q9BEG4	Putative alpha-2,3-sialyltransferase (Fragment) OS=Bos taurus GN=st3GalI PE=2 SV=1 - [Q9BEG4_BOVIN]
Q9BGL6	MMP-13 (Fragment) OS=Ovis aries PE=2 SV=1 - [Q9BGL6_SHEEP]
Q9BGU5	Cathepsin D (Fragment) OS=Bos taurus GN=cat-D PE=2 SV=1 - [Q9BGU5_BOVIN]
Q9GL09	Interleukin-18 (IGIF) OS=Ovis aries GN=il-18 PE=2 SV=1 - [Q9GL09_SHEEP]
Q9MYR4	Leucocyte antigen DIB (Fragment) OS=Bos indicus GN=BoLA-DIB PE=2 SV=1 - [Q9MYR4_BOSIN]
Q9MZB4	Class mu glutathione S-transferase (Fragment) OS=Capra hircus PE=2 SV=1 - [Q9MZB4_CAPHI]
Q9MZS6	Bak protein (Fragment) OS=Ovis aries PE=2 SV=1 - [Q9MZS6_SHEEP]
Q9MZW1	Beta-actin (Fragment) OS=Ovis aries PE=2 SV=1 - [Q9MZW1_SHEEP]
Q9MZY2	Airway lactoperoxidase OS=Ovis aries PE=1 SV=1 - [Q9MZY2_SHEEP]
Q9N136	Interferon regulatory factor 6 OS=Ovis aries PE=2 SV=1 - [Q9N136_SHEEP]
Q9N258	Kappa-casein (Fragment) OS=Bos taurus x Bos indicus GN=CSN3 PE=4 SV=1 - [Q9N258_9CETA]
Q9N282	MMP-9 (Fragment) OS=Bos taurus GN=bmmp-9 PE=2 SV=1 - [Q9N282_BOVIN]
Q9TTP5	Pyridoxal kinase (Fragment) OS=Ovis aries PE=2 SV=1 - [Q9TTP5_SHEEP]
Q9TTR6	Putative sodium-glucose cotransporter (Fragment) OS=Bos taurus GN=sglt1 PE=2 SV=1 - [Q9TTR6_BOVIN]
Q9TU03	Rho GDP-dissociation inhibitor 2 OS=Bos taurus GN=ARHGDIB PE=2 SV=3 - [GDIR2_BOVIN]
Q9XSM0	Prostaglandin-H2 D-isomerase OS=Ovis aries GN=PTGDS PE=1 SV=1 - [PTGDS_SHEEP]
Q9XSY9	Osteopontin OS=Ovis aries GN=SPP1 PE=2 SV=1 - [OSTP_SHEEP]
Q9XT27	Ceruloplasmin OS=Ovis aries GN=CP PE=2 SV=1 - [CERU_SHEEP]
R4R2H5	Beta-casein (Fragment) OS=Ovis aries PE=4 SV=1 - [R4R2H5_SHEEP]
R4R2H5	Beta-casein (Fragment) OS=Ovis aries PE=4 SV=1 - [R4R2H5_SHEEP]
S5FR89	Cathepsin B OS=Ovis aries GN=CTSB PE=2 SV=1 - [S5FR89_SHEEP]
S5G3C2	Insulin-like growth factor 2 receptor (Fragment) OS=Bubalus bubalis GN=IGF2R PE=2 SV=1 - [S5G3C2_BUBBU]
U3MXA9	Keratin 17 OS=Ovis aries GN=KRT17 PE=2 SV=1 - [U3MXA9_SHEEP]
W5NPH6	Uncharacterized protein OS=Ovis aries GN=ARHGAP28 PE=4 SV=1 - [W5NPH6_SHEEP]
W5NPK5	Uncharacterized protein OS=Ovis aries GN=C3 PE=4 SV=1 - [W5NPK5_SHEEP]
W5NPN4	Uncharacterized protein OS=Ovis aries GN=HSPA8 PE=3 SV=1 - [W5NPN4_SHEEP]
W5NPR6	Uncharacterized protein (Fragment) OS=Ovis aries GN=AATF PE=4 SV=1 - [W5NPR6_SHEEP]
W5NPT7	Uncharacterized protein OS=Ovis aries GN=BTN1A1 PE=4 SV=1 - [W5NPT7_SHEEP]
W5NQ22	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5NQ22_SHEEP]
W5NQ46	Fibrinogen beta chain OS=Ovis aries GN=FGB PE=4 SV=1 - [W5NQ46_SHEEP]
W5NQ53	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5NQ53_SHEEP]
W5NQB7	Uncharacterized protein OS=Ovis aries GN=TRRAP PE=4 SV=1 - [W5NQB7_SHEEP]
W5NQH2	Uncharacterized protein (Fragment) OS=Ovis aries GN=CHMP6 PE=4 SV=1 - [W5NQH2_SHEEP]
W5NQJ0	Protein S100 OS=Ovis aries GN=S100A12 PE=3 SV=1 - [W5NQJ0_SHEEP]
W5NQP5	Superoxide dismutase [Cu-Zn] OS=Ovis aries GN=SOD3 PE=3 SV=1 - [W5NQP5_SHEEP]
W5NQS8	Uncharacterized protein (Fragment) OS=Ovis aries GN=LRFN2 PE=4 SV=1 - [W5NQS8_SHEEP]
W5NQV3	Uncharacterized protein OS=Ovis aries GN=HERC5 PE=4 SV=1 - [W5NQV3_SHEEP]
W5NQW4	Uncharacterized protein OS=Ovis aries GN=LOC101104482 PE=4 SV=1 - [W5NQW4_SHEEP]
W5NQW9	Uncharacterized protein OS=Ovis aries GN=LOC101104482 PE=4 SV=1 - [W5NQW9_SHEEP]
W5NR62	Uncharacterized protein OS=Ovis aries GN=IQUB PE=4 SV=1 - [W5NR62_SHEEP]
W5NR96	Uncharacterized protein OS=Ovis aries GN=ARRDC1 PE=4 SV=1 - [W5NR96_SHEEP]
W5NRG7	Uncharacterized protein OS=Ovis aries GN=ITIH4 PE=4 SV=1 - [W5NRG7_SHEEP]
W5NRH2	Uncharacterized protein OS=Ovis aries GN=LOC101103133 PE=4 SV=1 - [W5NRH2_SHEEP]
W5NRI1	Uncharacterized protein OS=Ovis aries GN=LOC101113831 PE=4 SV=1 - [W5NRI1_SHEEP]
W5NRI6	Uncharacterized protein (Fragment) OS=Ovis aries GN=PROSC PE=3 SV=1 - [W5NRI6_SHEEP]
W5NS36	Uncharacterized protein OS=Ovis aries GN=ABCC4 PE=3 SV=1 - [W5NS36_SHEEP]
W5NS69	Uncharacterized protein OS=Ovis aries GN=ANKRD12 PE=4 SV=1 - [W5NS69_SHEEP]
W5NS74	Uncharacterized protein (Fragment) OS=Ovis aries GN=ACAA1 PE=3 SV=1 - [W5NS74_SHEEP]
W5NS77	Uncharacterized protein OS=Ovis aries GN=RNF213 PE=4 SV=1 - [W5NS77_SHEEP]
W5NSA6	Uncharacterized protein OS=Ovis aries GN=A2M PE=4 SV=1 - [W5NSA6_SHEEP]
W5NSD5	Uncharacterized protein OS=Ovis aries GN=RAP1B PE=4 SV=1 - [W5NSD5_SHEEP]
W5NSH2	Uncharacterized protein OS=Ovis aries GN=ITIH3 PE=4 SV=1 - [W5NSH2_SHEEP]
W5NSI5	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5NSI5_SHEEP]
W5NSM1	Uncharacterized protein OS=Ovis aries GN=ACTR1A PE=3 SV=1 - [W5NSM1_SHEEP]
W5NSV6	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5NSV6_SHEEP]
W5NSY9	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5NSY9_SHEEP]
W5NT24	Uncharacterized protein OS=Ovis aries GN=TNXB PE=4 SV=1 - [W5NT24_SHEEP]
W5NT33	Uncharacterized protein OS=Ovis aries GN=ZSCAN10 PE=4 SV=1 - [W5NT33_SHEEP]
W5NT95	Uncharacterized protein OS=Ovis aries GN=ATP6AP2 PE=4 SV=1 - [W5NT95_SHEEP]
W5NTC3	Uncharacterized protein OS=Ovis aries PE=3 SV=1 - [W5NTC3_SHEEP]
W5NTK2	Uncharacterized protein OS=Ovis aries GN=KCNH2 PE=4 SV=1 - [W5NTK2_SHEEP]
W5NTR9	Uncharacterized protein (Fragment) OS=Ovis aries GN=ZSWIM5 PE=4 SV=1 - [W5NTR9_SHEEP]
W5NTT3	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5NTT3_SHEEP]
W5NTT6	Uncharacterized protein OS=Ovis aries GN=SERINC2 PE=4 SV=1 - [W5NTT6_SHEEP]
W5NTU3	Uncharacterized protein (Fragment) OS=Ovis aries GN=LOC101105235 PE=4 SV=1 - [W5NTU3_SHEEP]
W5NTW1	Uncharacterized protein OS=Ovis aries GN=LOC101119804 PE=4 SV=1 - [W5NTW1_SHEEP]
W5NTW3	Uncharacterized protein (Fragment) OS=Ovis aries GN=ITIH1 PE=4 SV=1 - [W5NTW3_SHEEP]
W5NTW7	Uncharacterized protein (Fragment) OS=Ovis aries GN=PEX3 PE=4 SV=1 - [W5NTW7_SHEEP]
W5NTZ0	Uncharacterized protein OS=Ovis aries GN=TOE1 PE=4 SV=1 - [W5NTZ0_SHEEP]
W5NU00	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5NU00_SHEEP]
W5NU08	Uncharacterized protein OS=Ovis aries GN=SEC31A PE=4 SV=1 - [W5NU08_SHEEP]
W5NU39	Uncharacterized protein OS=Ovis aries GN=FABP3 PE=3 SV=1 - [W5NU39_SHEEP]
W5NU63	Uncharacterized protein OS=Ovis aries GN=MYH10 PE=4 SV=1 - [W5NU63_SHEEP]
W5NU86	Uncharacterized protein OS=Ovis aries GN=GLA PE=3 SV=1 - [W5NU86_SHEEP]
W5NUD7	Uncharacterized protein OS=Ovis aries GN=LOC101113398 PE=4 SV=1 - [W5NUD7_SHEEP]
W5NUE5	Uncharacterized protein (Fragment) OS=Ovis aries GN=SLC38A7 PE=4 SV=1 - [W5NUE5_SHEEP]
W5NUI6	Uncharacterized protein OS=Ovis aries GN=SGSH PE=4 SV=1 - [W5NUI6_SHEEP]
W5NUK0	Uncharacterized protein (Fragment) OS=Ovis aries GN=NEK9 PE=4 SV=1 - [W5NUK0_SHEEP]
W5NUN7	Tetraspanin OS=Ovis aries GN=CD82 PE=3 SV=1 - [W5NUN7_SHEEP]
W5NUP2	Uncharacterized protein (Fragment) OS=Ovis aries GN=SLMO1 PE=4 SV=1 - [W5NUP2_SHEEP]
W5NUX8	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5NUX8_SHEEP]
W5NUY5	Uncharacterized protein OS=Ovis aries GN=LOC101122059 PE=3 SV=1 - [W5NUY5_SHEEP]
W5NV27	Uncharacterized protein OS=Ovis aries GN=PPM1L PE=4 SV=1 - [W5NV27_SHEEP]
W5NVM6	Uncharacterized protein OS=Ovis aries GN=LOC101119889 PE=4 SV=1 - [W5NVM6_SHEEP]
W5NVT3	Uncharacterized protein OS=Ovis aries GN=SND1 PE=4 SV=1 - [W5NVT3_SHEEP]
W5NVV6	Uncharacterized protein (Fragment) OS=Ovis aries GN=DNAJC3 PE=4 SV=1 - [W5NVV6_SHEEP]
W5NVW7	Uncharacterized protein OS=Ovis aries GN=NAGLU PE=4 SV=1 - [W5NVW7_SHEEP]
W5NW17	Uncharacterized protein (Fragment) OS=Ovis aries GN=STXBP2 PE=4 SV=1 - [W5NW17_SHEEP]
W5NW29	Uncharacterized protein (Fragment) OS=Ovis aries GN=FAF2 PE=4 SV=1 - [W5NW29_SHEEP]
W5NW32	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5NW32_SHEEP]
W5NW80	Uncharacterized protein (Fragment) OS=Ovis aries GN=GAA PE=3 SV=1 - [W5NW80_SHEEP]
W5NWE5	Uncharacterized protein OS=Ovis aries GN=PPP1R16A PE=4 SV=1 - [W5NWE5_SHEEP]
W5NWJ9	Uncharacterized protein OS=Ovis aries GN=ADAM10 PE=4 SV=1 - [W5NWJ9_SHEEP]
W5NWM2	Uncharacterized protein OS=Ovis aries GN=APOA4 PE=4 SV=1 - [W5NWM2_SHEEP]
W5NWN1	Uncharacterized protein (Fragment) OS=Ovis aries GN=SDF2 PE=4 SV=1 - [W5NWN1_SHEEP]
W5NWU9	Uncharacterized protein (Fragment) OS=Ovis aries GN=LOC101103602 PE=4 SV=1 - [W5NWU9_SHEEP]
W5NX17	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5NX17_SHEEP]
W5NX32	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5NX32_SHEEP]
W5NX51	Uncharacterized protein OS=Ovis aries GN=APOA1 PE=4 SV=1 - [W5NX51_SHEEP]
W5NXA9	Uncharacterized protein (Fragment) OS=Ovis aries GN=LENG9 PE=4 SV=1 - [W5NXA9_SHEEP]
W5NXM1	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5NXM1_SHEEP]
W5NXN2	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5NXN2_SHEEP]
W5NXP3	Uncharacterized protein OS=Ovis aries GN=LOC101111083 PE=3 SV=1 - [W5NXP3_SHEEP]
W5NXV3	Uncharacterized protein (Fragment) OS=Ovis aries GN=ELMO3 PE=4 SV=1 - [W5NXV3_SHEEP]
W5NXW9	Uncharacterized protein OS=Ovis aries GN=IGHM PE=4 SV=1 - [W5NXW9_SHEEP]
W5NXX6	Uncharacterized protein OS=Ovis aries GN=PSTPIP2 PE=4 SV=1 - [W5NXX6_SHEEP]
W5NY46	Uncharacterized protein OS=Ovis aries GN=PON1 PE=4 SV=1 - [W5NY46_SHEEP]
W5NY95	Uncharacterized protein OS=Ovis aries GN=C2 PE=3 SV=1 - [W5NY95_SHEEP]
W5NYA7	Uncharacterized protein OS=Ovis aries GN=PEBP1 PE=4 SV=1 - [W5NYA7_SHEEP]
W5NYF4	Uncharacterized protein OS=Ovis aries GN=PGLYRP2 PE=4 SV=1 - [W5NYF4_SHEEP]
W5NYI8	Uncharacterized protein (Fragment) OS=Ovis aries GN=GTF2H3 PE=4 SV=1 - [W5NYI8_SHEEP]
W5NYI9	Uncharacterized protein OS=Ovis aries GN=FARP1 PE=4 SV=1 - [W5NYI9_SHEEP]
W5NYK9	Uncharacterized protein OS=Ovis aries GN=CALU PE=4 SV=1 - [W5NYK9_SHEEP]
W5NYT5	Uncharacterized protein (Fragment) OS=Ovis aries GN=LOC101104263 PE=4 SV=1 - [W5NYT5_SHEEP]
W5NYZ7	Uncharacterized protein OS=Ovis aries GN=CREB3L1 PE=4 SV=1 - [W5NYZ7_SHEEP]
W5NZ06	Uncharacterized protein (Fragment) OS=Ovis aries GN=STK24 PE=4 SV=1 - [W5NZ06_SHEEP]
W5NZ10	Uncharacterized protein OS=Ovis aries GN=NUTF2 PE=4 SV=1 - [W5NZ10_SHEEP]
W5NZ39	Uncharacterized protein OS=Ovis aries GN=EDC4 PE=4 SV=1 - [W5NZ39_SHEEP]
W5NZ47	Uncharacterized protein (Fragment) OS=Ovis aries GN=RBP4 PE=4 SV=1 - [W5NZ47_SHEEP]
W5NZ62	Uncharacterized protein OS=Ovis aries GN=GNS PE=4 SV=1 - [W5NZ62_SHEEP]
W5NZ70	Uncharacterized protein (Fragment) OS=Ovis aries GN=LGALS3BP PE=4 SV=1 - [W5NZ70_SHEEP]
W5NZ71	Uncharacterized protein (Fragment) OS=Ovis aries GN=EXOC8 PE=4 SV=1 - [W5NZ71_SHEEP]
W5NZ94	Uncharacterized protein OS=Ovis aries GN=CCDC170 PE=4 SV=1 - [W5NZ94_SHEEP]
W5NZE0	Uncharacterized protein OS=Ovis aries GN=ZNF582 PE=4 SV=1 - [W5NZE0_SHEEP]
W5NZH3	Uncharacterized protein OS=Ovis aries GN=ADAMTS13 PE=4 SV=1 - [W5NZH3_SHEEP]
W5NZQ2	Uncharacterized protein OS=Ovis aries GN=LAP3 PE=3 SV=1 - [W5NZQ2_SHEEP]
W5NZS3	Uncharacterized protein (Fragment) OS=Ovis aries GN=REXO4 PE=4 SV=1 - [W5NZS3_SHEEP]
W5NZU3	Uncharacterized protein OS=Ovis aries GN=CDH1 PE=4 SV=1 - [W5NZU3_SHEEP]
W5NZY6	Uncharacterized protein OS=Ovis aries GN=DNAJB9 PE=4 SV=1 - [W5NZY6_SHEEP]
W5P010	Uncharacterized protein (Fragment) OS=Ovis aries GN=RAB1B PE=3 SV=1 - [W5P010_SHEEP]
W5P011	Uncharacterized protein OS=Ovis aries GN=ANKRD65 PE=4 SV=1 - [W5P011_SHEEP]
W5P023	Uncharacterized protein (Fragment) OS=Ovis aries PE=3 SV=1 - [W5P023_SHEEP]
W5P055	Uncharacterized protein OS=Ovis aries GN=ARHGEF26 PE=4 SV=1 - [W5P055_SHEEP]
W5P076	Uncharacterized protein OS=Ovis aries GN=LYST PE=4 SV=1 - [W5P076_SHEEP]
W5P079	Uncharacterized protein OS=Ovis aries GN=ELMO1 PE=4 SV=1 - [W5P079_SHEEP]
W5P086	Uncharacterized protein (Fragment) OS=Ovis aries GN=NFAT5 PE=4 SV=1 - [W5P086_SHEEP]
W5P094	Uncharacterized protein (Fragment) OS=Ovis aries GN=NID1 PE=4 SV=1 - [W5P094_SHEEP]
W5P0E4	Uncharacterized protein (Fragment) OS=Ovis aries GN=EFNA1 PE=3 SV=1 - [W5P0E4_SHEEP]
W5P0G5	Uncharacterized protein OS=Ovis aries GN=ASXL1 PE=4 SV=1 - [W5P0G5_SHEEP]
W5P0K6	Uncharacterized protein OS=Ovis aries GN=PMFBP1 PE=4 SV=1 - [W5P0K6_SHEEP]
W5P0P6	Uncharacterized protein OS=Ovis aries GN=SUCNR1 PE=3 SV=1 - [W5P0P6_SHEEP]
W5P0P8	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5P0P8_SHEEP]
W5P0Q4	Uncharacterized protein (Fragment) OS=Ovis aries GN=HP PE=3 SV=1 - [W5P0Q4_SHEEP]
W5P0Q7	Uncharacterized protein OS=Ovis aries GN=TMLHE PE=4 SV=1 - [W5P0Q7_SHEEP]
W5P0U4	Uncharacterized protein OS=Ovis aries GN=MUC1 PE=4 SV=1 - [W5P0U4_SHEEP]
W5P0U9	Uncharacterized protein (Fragment) OS=Ovis aries GN=ANGPTL4 PE=4 SV=1 - [W5P0U9_SHEEP]
W5P0V6	Uncharacterized protein OS=Ovis aries GN=SCCPDH PE=4 SV=1 - [W5P0V6_SHEEP]
W5P0W0	Uncharacterized protein (Fragment) OS=Ovis aries GN=IST1 PE=4 SV=1 - [W5P0W0_SHEEP]
W5P0W4	Uncharacterized protein (Fragment) OS=Ovis aries GN=SEMA7A PE=4 SV=1 - [W5P0W4_SHEEP]
W5P0W6	Phosphoinositide phospholipase C OS=Ovis aries GN=PLCE1 PE=4 SV=1 - [W5P0W6_SHEEP]
W5P101	Uncharacterized protein OS=Ovis aries GN=A1BG PE=4 SV=1 - [W5P101_SHEEP]
W5P109	Histone-lysine N-methyltransferase OS=Ovis aries GN=NSD1 PE=4 SV=1 - [W5P109_SHEEP]
W5P138	Uncharacterized protein OS=Ovis aries GN=ZNF37A PE=4 SV=1 - [W5P138_SHEEP]
W5P189	Uncharacterized protein OS=Ovis aries GN=SRGAP1 PE=4 SV=1 - [W5P189_SHEEP]
W5P1A3	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5P1A3_SHEEP]
W5P1C2	Uncharacterized protein OS=Ovis aries GN=NUCB2 PE=4 SV=1 - [W5P1C2_SHEEP]
W5P1F9	Uncharacterized protein OS=Ovis aries GN=ROGDI PE=4 SV=1 - [W5P1F9_SHEEP]
W5P1G6	Uncharacterized protein (Fragment) OS=Ovis aries GN=AGBL4 PE=4 SV=1 - [W5P1G6_SHEEP]
W5P1H1	Uncharacterized protein OS=Ovis aries GN=MTRF1L PE=4 SV=1 - [W5P1H1_SHEEP]
W5P1J8	Amine oxidase OS=Ovis aries GN=LOC101113086 PE=3 SV=1 - [W5P1J8_SHEEP]
W5P1X9	Fructose-bisphosphate aldolase OS=Ovis aries GN=ALDOA PE=3 SV=1 - [W5P1X9_SHEEP]
W5P285	Glucose-6-phosphate 1-dehydrogenase OS=Ovis aries PE=3 SV=1 - [W5P285_SHEEP]
W5P2J5	Uncharacterized protein OS=Ovis aries GN=RPL3 PE=4 SV=1 - [W5P2J5_SHEEP]
W5P2J7	Follicle-stimulating hormone receptor OS=Ovis aries GN=FSHR PE=3 SV=1 - [W5P2J7_SHEEP]
W5P2J9	Uncharacterized protein OS=Ovis aries PE=3 SV=1 - [W5P2J9_SHEEP]
W5P2K9	Uncharacterized protein OS=Ovis aries GN=LMAN2 PE=4 SV=1 - [W5P2K9_SHEEP]
W5P2N7	Uncharacterized protein OS=Ovis aries GN=C1RL PE=3 SV=1 - [W5P2N7_SHEEP]
W5P2Q6	Uncharacterized protein (Fragment) OS=Ovis aries GN=RHEB PE=4 SV=1 - [W5P2Q6_SHEEP]
W5P2V0	Uncharacterized protein (Fragment) OS=Ovis aries GN=EZR PE=4 SV=1 - [W5P2V0_SHEEP]
